age_AD,trsgiFir,trsgiThl,trsgiCop,tempanom-JA,tempanom-JAerr+,tempanom-JAerr-
1483,1.007,NaN,NaN,-0.74,-0.08,-1.4
1484,1.032,NaN,NaN,-0.7,-0.04,-1.36
1485,1.008,NaN,NaN,-0.66,0,-1.32
1486,1,NaN,NaN,-0.62,0.04,-1.28
1487,0.981,NaN,NaN,-0.58,0.08,-1.24
1488,0.955,NaN,NaN,-0.55,0.12,-1.21
1489,1.07,NaN,NaN,-0.51,0.15,-1.18
1490,0.964,NaN,NaN,-0.49,0.18,-1.15
1491,1.054,NaN,NaN,-0.46,0.2,-1.12
1492,0.984,0.965,NaN,-0.44,0.22,-1.1
1493,1.079,1.049,NaN,-0.43,0.23,-1.09
1494,1.089,0.976,NaN,-0.42,0.24,-1.08
1495,1.082,0.842,NaN,-0.42,0.24,-1.08
1496,1.03,1.006,NaN,-0.43,0.24,-1.09
1497,0.98,1.031,NaN,-0.44,0.23,-1.1
1498,0.984,1.077,NaN,-0.45,0.21,-1.12
1499,1.028,1.072,NaN,-0.47,0.19,-1.14
1500,1.034,1.01,NaN,-0.5,0.16,-1.16
1501,1.001,1.03,NaN,-0.53,0.14,-1.19
1502,0.999,0.993,NaN,-0.56,0.11,-1.22
1503,1.032,1.018,NaN,-0.59,0.08,-1.25
1504,1.009,1.042,NaN,-0.62,0.04,-1.28
1505,1.046,1.067,NaN,-0.65,0.01,-1.31
1506,0.913,0.987,NaN,-0.69,-0.02,-1.35
1507,0.998,1.033,NaN,-0.72,-0.06,-1.38
1508,0.985,0.962,NaN,-0.76,-0.1,-1.42
1509,1.012,0.997,NaN,-0.8,-0.13,-1.46
1510,1.041,1.021,NaN,-0.83,-0.17,-1.5
1511,1.055,1.003,NaN,-0.87,-0.21,-1.54
1512,1.048,0.868,NaN,-0.91,-0.25,-1.57
1513,1.046,0.945,NaN,-0.95,-0.28,-1.61
1514,1.017,0.99,NaN,-0.98,-0.32,-1.64
1515,0.953,1,NaN,-1.01,-0.34,-1.67
1516,0.881,0.831,NaN,-1.03,-0.36,-1.69
1517,0.975,1.032,NaN,-1.04,-0.37,-1.7
1518,0.897,0.976,NaN,-1.04,-0.38,-1.71
1519,1.005,1.005,NaN,-1.03,-0.37,-1.7
1520,0.993,1.013,NaN,-1.02,-0.36,-1.68
1521,1.021,1.015,NaN,-0.99,-0.33,-1.66
1522,0.969,1.018,NaN,-0.96,-0.3,-1.62
1523,0.896,1.031,NaN,-0.92,-0.25,-1.58
1524,1.039,1.023,NaN,-0.87,-0.21,-1.53
1525,1.003,0.993,NaN,-0.82,-0.16,-1.49
1526,1.063,0.984,NaN,-0.77,-0.11,-1.43
1527,0.99,1.095,NaN,-0.72,-0.06,-1.38
1528,1.031,1.011,NaN,-0.67,-0.01,-1.33
1529,1.069,1.035,NaN,-0.63,0.04,-1.29
1530,1.078,1.026,NaN,-0.58,0.08,-1.25
1531,0.902,1.039,NaN,-0.55,0.12,-1.21
1532,1.057,0.859,NaN,-0.52,0.15,-1.18
1533,0.975,1.02,NaN,-0.49,0.17,-1.15
1534,1.041,0.956,NaN,-0.47,0.19,-1.13
